model_clean,component,frequency,risk_score,avg_severity
Model Y,FORWARD COLLISION AVOIDANCE,1717,3555,2.07
Model 3,FORWARD COLLISION AVOIDANCE,1666,2124,1.27
Model Y,VEHICLE SPEED CONTROL,528,2100,3.98
Model Y,ELECTRICAL SYSTEM,437,1939,4.44
Model 3,VEHICLE SPEED CONTROL,606,1114,1.84
Model S,SUSPENSION,527,1032,1.96
Model 3,SERVICE BRAKES,547,911,1.67
Model Y,SERVICE BRAKES,518,890,1.72
Model 3,ELECTRICAL SYSTEM,514,786,1.53
Model S,ELECTRICAL SYSTEM,595,762,1.28
Model Y,STEERING,363,688,1.9
Model S,VEHICLE SPEED CONTROL,206,637,3.09
Model 3,STEERING,346,634,1.83
Model 3,AIR BAGS,286,555,1.94
Model Y,LANE DEPARTURE,283,544,1.92
Model X,SUSPENSION,320,489,1.53
Model 3,SUSPENSION,318,456,1.43
Model S,STEERING,270,419,1.55
Model 3,LANE DEPARTURE,269,417,1.55
Model X,ELECTRICAL SYSTEM,272,415,1.53
Model S,FORWARD COLLISION AVOIDANCE,244,346,1.42
Model Y,AIR BAGS,98,323,3.3
Model X,VEHICLE SPEED CONTROL,111,315,2.84
Model Y,BACK OVER PREVENTION,147,303,2.06
Model S,SERVICE BRAKES,140,300,2.14
Model 3,STRUCTURE,141,299,2.12
Model X,STEERING,212,293,1.38
Model Y,SUSPENSION,215,273,1.27
Model X,STRUCTURE,126,251,1.99
Model 3,SEAT BELTS,211,223,1.06
Model Y,STRUCTURE,108,220,2.04
Model X,FORWARD COLLISION AVOIDANCE,139,212,1.53
Model 3,SEATS,165,192,1.16
Model S,STRUCTURE,105,189,1.8
Model X,SERVICE BRAKES,74,186,2.51
Model S,FUEL/PROPULSION SYSTEM,55,173,3.15
Model Y,WHEELS,87,172,1.98
Model Y,VISIBILITY/WIPER,152,165,1.09
Model 3,VISIBILITY/WIPER,154,160,1.04
Model S,LANE DEPARTURE,91,151,1.66
Model S,EXTERIOR LIGHTING,143,149,1.04
Model 3,POWER TRAIN,86,144,1.67
Model 3,FUEL/PROPULSION SYSTEM,69,137,1.99
Model Y,POWER TRAIN,80,136,1.7
Model 3,BACK OVER PREVENTION,85,132,1.55
Model S,AIR BAGS,53,128,2.42
Model Y,SEAT BELTS,102,125,1.23
Model 3,WHEELS,67,116,1.73
Model S,POWER TRAIN,70,109,1.56
Model X,AIR BAGS,46,106,2.3
Cybertruck,ELECTRICAL SYSTEM,47,96,2.04
Model Y,ENGINE,52,87,1.67
Model S,VISIBILITY/WIPER,85,85,1.0
Model 3,EXTERIOR LIGHTING,74,83,1.12
Cybertruck,STRUCTURE,34,83,2.44
Model S,WHEELS,66,81,1.23
Model S,BACK OVER PREVENTION,61,81,1.33
Model S,ELECTRONIC STABILITY CONTROL (ESC),36,80,2.22
Model X,LANE DEPARTURE,56,77,1.38
Model Y,SEATS,57,74,1.3
Model X,POWER TRAIN,48,71,1.48
Cybertruck,STEERING,14,70,5.0
Model Y,EXTERIOR LIGHTING,64,70,1.09
Model Y,FUEL/PROPULSION SYSTEM,34,68,2.0
Model 3,ENGINE,38,67,1.76
Model X,WHEELS,39,60,1.54
Cybertruck,FORWARD COLLISION AVOIDANCE,19,60,3.16
Model X,BACK OVER PREVENTION,35,52,1.49
Model X,VISIBILITY/WIPER,48,48,1.0
Model S,ENGINE,25,47,1.88
Model X,ELECTRONIC STABILITY CONTROL (ESC),18,46,2.56
Model 3,VISIBILITY,42,45,1.07
Model S,LATCHES/LOCKS/LINKAGES,34,44,1.29
Model X,ENGINE,22,43,1.95
Model 3,LATCHES/LOCKS/LINKAGES,23,40,1.74
Model X,SEATS,32,39,1.22
Model X,EXTERIOR LIGHTING,37,37,1.0
Model X,SEAT BELTS,34,36,1.06
Model Y,LATCHES/LOCKS/LINKAGES,30,36,1.2
Model S,VISIBILITY,35,35,1.0
Model X,FUEL/PROPULSION SYSTEM,21,35,1.67
Model S,SEAT BELTS,22,32,1.45
Cybertruck,VEHICLE SPEED CONTROL,10,31,3.1
Model 3,FIRERELATED,2,27,13.5
Cybertruck,LANE DEPARTURE,11,27,2.45
Model 3,ELECTRONIC STABILITY CONTROL (ESC),9,26,2.89
Model Y,HYDRAULIC,6,26,4.33
Model Y,VISIBILITY,22,25,1.14
Model 3,HYDRAULIC,8,23,2.88
Model X,LATCHES/LOCKS/LINKAGES,15,23,1.53
Cybertruck,EXTERIOR LIGHTING,11,20,1.82
Model S,TIRES,19,19,1.0
Model Y,TIRES,18,18,1.0
Cybertruck,VISIBILITY/WIPER,16,18,1.12
Model X,EQUIPMENT,5,15,3.0
Model S,SEATS,12,14,1.17
Model 3,TIRES,11,14,1.27
Cybertruck,POWER TRAIN,14,14,1.0
Model S,EQUIPMENT,13,13,1.0
Cybertruck,WHEELS,6,12,2.0
Cybertruck,BACK OVER PREVENTION,3,12,4.0
Model X,VISIBILITY,12,12,1.0
Model X,HYDRAULIC,2,12,6.0
Cybertruck,TIRES,2,11,5.5
Cybertruck,SERVICE BRAKES,8,11,1.38
Model S,PARKING BRAKE,3,11,3.67
Model X,TIRES,10,10,1.0
Cybertruck,AIR BAGS,1,10,10.0
Model Y,ELECTRIC,4,9,2.25
Model Y,Harness,6,6,1.0
Model Y,Chest Clip,6,6,1.0
Model Y,EQUIPMENT ADAPTIVE/MOBILITY,1,6,6.0
Model Y,Buckle,6,6,1.0
Cybertruck,FUEL/PROPULSION SYSTEM,6,6,1.0
Model 3,AIR,1,4,4.0
Model 3,EQUIPMENT,4,4,1.0
Cybertruck,SUSPENSION,3,3,1.0
Model Y,Other/I am not sure,3,3,1.0
Model Y,Base,3,3,1.0
Model Y,Carry Handle,3,3,1.0
Model Y,Shell,3,3,1.0
Model Y,EQUIPMENT,3,3,1.0
Cybertruck,ENGINE,2,2,1.0
Model 3,ENGINE AND ENGINE COOLING,2,2,1.0
Semi,STRUCTURE,2,2,1.0
Model Y,Tether,2,2,1.0
Model Y,Lower Anchor (on car seat or vehicle),2,2,1.0
Cybertruck,SEAT BELTS,1,1,1.0
Cybertruck,SEATS,1,1,1.0
Cybertruck,VISIBILITY,1,1,1.0
Cybertruck,LATCHES/LOCKS/LINKAGES,1,1,1.0
Model 3,EQUIPMENT ADAPTIVE/MOBILITY,1,1,1.0
Model 3,Buckle,1,1,1.0
Model X,COMMUNICATION,1,1,1.0
Model S,HYDRAULIC,1,1,1.0
Model 3,Carry Handle,1,1,1.0
Model 3,Chest Clip,1,1,1.0
Model 3,Base,1,1,1.0
Model 3,Harness,1,1,1.0
Model 3,HYDRAULIC; AUTOHOLD BRAKE SYSTEM/BRAKE HOLD,1,1,1.0
Model 3,Shell,1,1,1.0
Model Y,ELECTRONIC STABILITY CONTROL (ESC),1,1,1.0
Model Y,CHILD SEAT,1,1,1.0
Model Y,Padding,1,1,1.0
Model Y,Insert,1,1,1.0
Semi,ELECTRICAL SYSTEM,1,1,1.0
Semi,LATCHES/LOCKS/LINKAGES,1,1,1.0
Semi,STEERING,1,1,1.0
Semi,VEHICLE SPEED CONTROL,1,1,1.0
